"f","Points:0","Points:1","Points:2"
0,0,0,0
0,0.03,0,0
0,0.05,0,0
0,0.08,0,0
0,0.1,0,0
0,0.13,0,0
0,0.15,0,0
0,0.18,0,0
0.01,0.2,0,0
0.01,0.23,0,0
0.01,0.25,0,0
0.01,0.28,0,0
0.02,0.3,0,0
0.02,0.33,0,0
0.03,0.35,0,0
0.03,0.38,0,0
0.04,0.4,0,0
0.05,0.43,0,0
0.06,0.45,0,0
0.07,0.48,0,0
0.09,0.5,0,0
0.1,0.53,0,0
0.12,0.55,0,0
0.14,0.58,0,0
0.17,0.6,0,0
0.2,0.63,0,0
0.23,0.65,0,0
0.26,0.68,0,0
0.3,0.7,0,0
0.35,0.73,0,0
0.39,0.75,0,0
0.45,0.78,0,0
0.5,0.8,0,0
0.56,0.83,0,0
0.63,0.85,0,0
0.7,0.88,0,0
0.77,0.9,0,0
0.85,0.93,0,0
0.92,0.95,0,0
1,0.98,0,0
1.09,1.01,0,0
1.17,1.03,0,0
1.25,1.06,0,0
1.33,1.08,0,0
1.41,1.11,0,0
1.49,1.13,0,0
1.56,1.16,0,0
1.63,1.18,0,0
1.69,1.21,0,0
1.75,1.23,0,0
1.8,1.26,0,0
1.83,1.28,0,0
1.86,1.31,0,0
1.88,1.33,0,0
1.89,1.36,0,0
1.88,1.38,0,0
1.87,1.41,0,0
1.84,1.43,0,0
1.8,1.46,0,0
1.76,1.48,0,0
1.7,1.51,0,0
1.63,1.53,0,0
1.56,1.56,0,0
1.48,1.58,0,0
1.39,1.61,0,0
1.3,1.63,0,0
1.2,1.66,0,0
1.11,1.68,0,0
1.01,1.71,0,0
0.92,1.73,0,0
0.82,1.76,0,0
0.73,1.78,0,0
0.65,1.81,0,0
0.57,1.83,0,0
0.49,1.86,0,0
0.42,1.88,0,0
0.36,1.91,0,0
0.3,1.93,0,0
0.25,1.96,0,0
0.21,1.98,0,0
0.17,2.01,0,0
0.14,2.04,0,0
0.11,2.06,0,0
0.08,2.09,0,0
0.07,2.11,0,0
0.05,2.14,0,0
0.04,2.16,0,0
0.03,2.19,0,0
0.02,2.21,0,0
0.02,2.24,0,0
0.01,2.26,0,0
0.01,2.29,0,0
0.01,2.31,0,0
0,2.34,0,0
0,2.36,0,0
0,2.39,0,0
0,2.41,0,0
0,2.44,0,0
0,2.46,0,0
0,2.49,0,0
0,2.51,0,0
0,2.54,0,0
0,2.56,0,0
0,2.59,0,0
0,2.61,0,0
0,2.64,0,0
0,2.66,0,0
0,2.69,0,0
0,2.71,0,0
0,2.74,0,0
0,2.76,0,0
0,2.79,0,0
0,2.81,0,0
0,2.84,0,0
0,2.86,0,0
0,2.89,0,0
0,2.91,0,0
0,2.94,0,0
0,2.96,0,0
0,2.99,0,0
0,3.02,0,0
0,3.04,0,0
0,3.07,0,0
0,3.09,0,0
0,3.12,0,0
0,3.14,0,0
0,3.17,0,0
0,3.19,0,0
0,3.22,0,0
0,3.24,0,0
0,3.27,0,0
0,3.29,0,0
0,3.32,0,0
0,3.34,0,0
-0,3.37,0,0
-0,3.39,0,0
-0,3.42,0,0
-0,3.44,0,0
-0,3.47,0,0
-0,3.49,0,0
-0,3.52,0,0
-0,3.54,0,0
-0,3.57,0,0
-0,3.59,0,0
-0,3.62,0,0
-0,3.64,0,0
-0,3.67,0,0
-0,3.69,0,0
-0,3.72,0,0
-0,3.74,0,0
-0,3.77,0,0
-0,3.79,0,0
-0,3.82,0,0
-0,3.84,0,0
-0,3.87,0,0
-0,3.89,0,0
-0,3.92,0,0
-0,3.94,0,0
-0,3.97,0,0
-0,3.99,0,0
-0,4.02,0,0
-0,4.05,0,0
-0,4.07,0,0
-0,4.1,0,0
-0,4.12,0,0
-0,4.15,0,0
-0,4.17,0,0
-0,4.2,0,0
-0,4.22,0,0
-0,4.25,0,0
-0,4.27,0,0
-0,4.3,0,0
-0,4.32,0,0
-0,4.35,0,0
-0,4.37,0,0
-0,4.4,0,0
-0,4.42,0,0
-0,4.45,0,0
-0,4.47,0,0
-0,4.5,0,0
-0,4.52,0,0
-0,4.55,0,0
-0,4.57,0,0
-0,4.6,0,0
-0,4.62,0,0
-0,4.65,0,0
-0,4.67,0,0
-0,4.7,0,0
-0,4.72,0,0
-0,4.75,0,0
-0,4.77,0,0
-0,4.8,0,0
-0,4.82,0,0
-0,4.85,0,0
-0,4.87,0,0
-0,4.9,0,0
-0,4.92,0,0
-0,4.95,0,0
-0,4.97,0,0
-0,5,0,0
